,label,landmark,x,y,z
0,1,1,-29.26647068328752,-3.1945205631661517,-10.005384069527118
1,1,2,-31.29325387283422,-0.48725186590410063,-19.086155219626818
2,1,3,-32.90606533038583,-0.6708105729598659,-14.10390921022858
3,1,4,-25.38241170087077,-3.6214894475649944,-18.414444293814228
4,1,5,-28.64805317793547,-2.6379997659885617,-16.255705082233902
5,1,9,-31.035376722379223,-4.451150189058344,-12.259167239609758
6,1,11,-31.776977020656503,-2.9568881459015266,-17.273549192931178
7,1,12,-25.491369247436523,-5.274309158325195,-15.929819107055664
8,1,13,-27.011437845099827,-3.372202027550267,-19.466115053181245
9,2,1,-26.048799514770508,-5.150694847106934,0.045625749975442886
10,2,2,-28.57864682273808,-4.6128382231838945,-9.366481914431157
11,2,3,-29.587045593109167,-4.140087227064372,-4.862376543513706
12,2,4,-20.33551272377385,-4.55499921388847,-8.68938820398616
13,2,5,-24.496991590110817,-6.115472757140281,-6.604278003833388
14,2,9,-28.24177451275735,-6.624595325911047,-1.7205086215623078
15,2,11,-27.89830284360823,-7.033255875818817,-7.434587225330619
16,2,12,-21.605399777627223,-7.639613406339829,-6.067717270519659
17,2,13,-22.41405345988103,-6.767396994737221,-10.15016650137007
18,3,1,-24.402202606201172,-5.893775939941406,6.05971622467041
19,3,2,-26.234167098999023,-5.964357376098633,0.6707761287689209
20,3,3,-27.25713387158581,-4.6976964547148015,3.882957708643922
21,3,4,-18.80672272589367,-5.028489948992705,0.8528133349701162
22,3,5,-22.9304489451601,-6.007751269770311,2.7933704757991125
23,3,7,-25.867603340083647,-7.435873822270679,4.190560294921028
24,3,8,-20.391921417280734,-7.826603940368555,1.7287569821613575
25,4,1,-21.739593198736877,-4.4582718170092726,12.870941196438702
26,4,2,-24.004595407002377,-5.656015943840676,6.902390765517336
27,4,3,-24.931220524492215,-3.293690672707535,10.501860911971695
28,4,4,-16.316268289680412,-3.9812067477043103,7.733022484571866
29,4,5,-20.628282045874087,-5.073478795322211,9.031619651966501
30,4,7,-23.71126952844368,-7.130034683999989,10.518302576885416
31,4,8,-17.64334903137411,-6.884235253346563,8.896886707763606
32,5,1,-17.330366675860454,-3.3799732639382767,19.242084188948848
33,5,2,-22.36207398324981,-2.780869462704064,13.779043138433536
34,5,3,-21.187237930237487,-0.8397804014983343,18.207879164749468
35,5,4,-17.68900051122226,-2.7604100559191194,14.128207137146681
36,5,6,-20.545554687945035,-6.271159931897186,17.85445020507744
37,6,1,-11.280483613423518,-4.487179299923203,23.197007727190872
38,6,2,-17.837509155273438,-4.261302947998047,22.007904052734375
39,6,3,-15.417453603170095,-2.001176637989164,23.635559809452644
40,6,4,-13.928150683577611,-1.956295749528846,19.50299302290315
41,6,6,-15.138622234182899,-6.1664339551784,23.479745449698846
42,7,1,-3.1420678113413767,-4.420577532157879,27.11045556413939
43,7,2,-10.113523383886916,-5.830416815072481,22.579185370951045
44,7,3,-7.414182009270694,-2.6149209000902807,26.46020505920292
45,7,4,-6.3168206799018005,-1.8111829011238643,22.31399279044823
46,7,6,-6.227538116732842,-6.980000558124251,25.228576312602556
47,8,1,-4.235656366845159,-2.6315974862287796,30.446827841466543
48,8,2,3.0901506436408583,-3.8762361576010855,26.484197415426948
49,8,3,0.5573289430486644,-0.18375457353708738,28.902749755606997
50,8,4,-1.5986066001744448,-0.3474885771988318,25.14240521258348
51,8,6,-0.9020537540941701,-5.040866427261335,29.427056432765514
52,9,1,4.091376250936644,-3.097957229557034,27.31070375298531
53,9,2,9.985995292663574,-2.235818386077881,25.28771209716797
54,9,3,7.509991373759394,-0.1649229208006231,27.037211802011168
55,9,4,5.214246853000146,-2.6322850533354054,22.268859147103605
56,9,6,6.815501689910889,-4.679121971130371,27.355628967285156
57,10,1,9.411707878112793,-2.879568576812744,22.843467712402344
58,10,2,15.118423055451668,-2.9768611144113666,18.04909010806497
59,10,3,13.749046757966155,-1.12333622228679,22.049374238570383
60,10,4,9.5027861365133,-2.2742578993247493,17.61152641608087
61,10,6,13.062516633828116,-5.727836044111883,22.031764258184545
62,11,1,14.333384852050544,-3.9943282629521857,16.844703090672024
63,11,2,17.29772965513789,-4.673185179963207,10.525887214129789
64,11,3,17.95873667122061,-3.3388197950461795,14.54793155526869
65,11,4,9.805560111999512,-3.45060658454895,10.371715545654297
66,11,5,13.710114388213988,-4.615306792041232,12.397851775632773
67,11,7,16.126753679970747,-6.859318304540779,14.508787156990417
68,11,8,10.366414867081279,-6.430072761760316,11.676561994601729
69,12,1,17.89126968383789,-4.740233898162842,10.206131935119629
70,12,2,21.125451259370607,-4.074452223647141,4.982829651950781
71,12,3,20.60060868347241,-3.407925653958637,9.154732728813402
72,12,4,15.430806301399203,-4.091642950140941,2.0816252623318396
73,12,5,17.811672850873663,-5.147137560531913,5.859317894894381
74,12,7,19.169280196845175,-6.43528266030903,8.81331386222754
75,12,8,16.77604807023572,-7.014440753930156,3.4960154250365068
76,13,1,23.49268341064453,-4.538640975952148,4.005856037139893
77,13,2,26.650806774414555,-4.618632958879127,-4.216360219627652
78,13,3,26.534333000249198,-2.5319363195186586,0.23329949154727067
79,13,4,17.870838030772532,-4.44328344737527,-4.850186524796204
80,13,5,22.30216009323123,-4.603588109850628,-1.4233282505320735
81,13,9,24.79402335887335,-5.470208447327948,2.5623546751345603
82,13,11,26.3486264965149,-5.6934794925171675,-2.8985892965380162
83,13,12,19.357017517089844,-7.205109596252441,-2.2629292011260986
84,13,13,21.129659348600747,-6.367140870780487,-6.446584981436849
85,14,1,27.806605664757136,-3.388190926190579,-5.619384055787419
86,14,2,30.264528161471556,-1.5205751956501643,-14.019279216177333
87,14,3,30.906828564578756,-0.779841258215343,-9.625803437108916
88,14,4,23.840003607688413,-3.6950088314075527,-14.564180828982504
89,14,5,26.88487249454885,-3.292928586032257,-11.30648320319464
90,14,9,28.974442233833212,-4.6477591340413245,-7.456115370395506
91,14,11,30.444754796374458,-3.063281100061312,-12.466176087661477
92,14,12,24.85406229327686,-5.494826306253426,-12.268650314544514
93,14,13,26.56185556271301,-3.0681292246070266,-15.375212122931016
