,label,landmark,x,y,z
0,1,1,26.796686,-5.591283,-7.9180636
1,1,2,31.429256,-3.2678294,-16.423862
2,1,3,30.031454,-5.2165303,-11.2561245
3,1,4,21.099495,-7.683637,-13.011536
4,1,5,25.202513,-6.8040442,-13.459996
5,1,9,26.613447,-3.4741788,-10.693238
6,1,11,30.808165,-3.1666694,-16.889513
7,1,12,21.400366,-6.5846963,-11.798494
8,1,13,23.139843,-5.7566586,-17.301296
9,2,1,21.648693,-7.405546,2.0799942
10,2,2,25.946913,-7.6513567,-5.294518
11,2,3,24.609638,-7.079432,-0.84118074
12,2,4,15.7872,-9.657062,-1.7611344
13,2,5,19.77986,-8.77562,-4.245043
14,2,9,21.777617,-5.4591017,-0.8450415
15,2,10,21.702093,-5.5887117,-1.4262421
16,2,11,22.967789,-5.6356883,-5.6692476
17,2,12,16.397125,-8.028425,-1.7995236
18,2,13,17.968546,-8.170281,-7.017526
19,3,1,16.999271,-8.337944,9.042515
20,3,2,20.361279,-8.062167,2.9394522
21,3,3,21.411415,-9.5552635,7.2513084
22,3,4,14.23149,-9.277567,3.304175
23,3,5,16.525572,-7.7860794,4.413825
24,3,7,17.999718,-5.8878984,6.383201
25,3,12,17.32504,-6.0343843,6.6506023
26,3,13,17.19178,-7.4678144,4.051666
27,4,1,13.325337,-8.402157,15.272109
28,4,2,16.788517,-8.05049,9.140104
29,4,3,17.617762,-10.353498,14.06544
30,4,4,11.171363,-9.71341,9.851725
31,4,5,13.194002,-6.242921,10.975419
32,4,7,14.281471,-5.2324724,11.988831
33,4,8,14.281471,-5.2324724,11.988831
34,5,1,7.8918962,-6.524626,19.523195
35,5,2,13.321585,-5.415888,15.937324
36,5,3,12.113705,-7.0882316,19.799839
37,5,4,10.199089,-8.103469,15.788853
38,5,6,10.039252,-3.6818166,18.64418
39,6,1,3.9031227,-2.836421,21.619099
40,6,2,9.11396,-4.5724974,20.845379
41,6,3,6.5974917,-5.8657713,22.721672
42,6,4,6.7154255,-5.3262506,20.157354
43,6,6,5.210604,-2.1948383,21.39495
44,7,1,-1.6687312,-2.6757193,22.480675
45,7,2,3.7914834,-2.858847,22.754719
46,7,3,0.97556907,-5.4523087,24.378553
47,7,4,0.4222795,-5.1067963,21.603561
48,7,6,0.6639383,-1.5565605,23.041796
49,8,1,-1.8320944,-2.2382276,22.34645
50,8,2,-7.1516485,-3.637533,21.735916
51,8,3,-4.0293093,-5.3277264,23.98996
52,8,4,-5.1088767,-4.804367,21.140814
53,8,6,-3.651278,-1.5502427,22.675821
54,9,1,-6.2813144,-2.5123355,19.612791
55,9,2,-11.469535,-3.7055433,19.207792
56,9,3,-9.276739,-4.8474746,20.840036
57,9,4,-7.9871206,-5.5412292,18.135714
58,9,6,-7.8504014,-1.7735394,19.262674
59,10,1,-11.769872,-5.6902843,19.097752
60,10,2,-16.216547,-4.6014566,14.702587
61,10,3,-14.365682,-4.3818097,18.414562
62,10,4,-13.530758,-6.834503,14.490469
63,10,6,-13.916685,-2.4566069,17.176348
64,11,1,-18.011066,-7.4726844,15.138829
65,11,2,-20.398247,-7.4780974,8.648858
66,11,3,-21.650328,-9.423006,13.172661
67,11,4,-15.090652,-8.896713,9.346576
68,11,5,-17.223782,-6.5460544,10.706918
69,11,7,-19.066586,-5.0450277,12.163399
70,11,8,-19.066586,-5.0450277,12.163399
71,12,1,-20.25835,-8.198024,8.24165
72,12,2,-23.552162,-8.287523,2.6253328
73,12,3,-24.45036,-10.087692,5.7768917
74,12,4,-17.333925,-9.166005,1.7075557
75,12,5,-19.466295,-8.34506,3.5291755
76,12,7,-21.354939,-6.3895445,5.838756
77,12,12,-20.426079,-6.8584337,6.5340033
78,12,13,-18.759678,-7.863949,2.1600528
79,13,1,-23.955448,-7.9326916,1.1637459
80,13,2,-27.644688,-8.019338,-7.0169907
81,13,3,-26.787045,-6.9745274,-3.5698307
82,13,4,-17.826239,-9.722479,-2.8389657
83,13,5,-22.380354,-8.981391,-4.617787
84,13,9,-24.549809,-6.1481376,-1.9898934
85,13,10,-25.453962,-5.811904,-5.1659937
86,13,11,-25.678783,-6.2366576,-6.687788
87,13,12,-18.417526,-8.233508,-2.271526
88,13,13,-20.205957,-7.3058763,-7.7549033
89,14,1,-27.063335,-6.4819593,-9.606415
90,14,2,-30.212944,-5.9221153,-18.709864
91,14,3,-29.80528,-5.1422987,-15.045175
92,14,4,-21.307331,-7.5148425,-13.049508
93,14,5,-24.90942,-7.0334477,-15.129843
94,14,9,-27.381987,-4.0120296,-12.431774
95,14,11,-27.575861,-3.7788653,-17.60857
96,14,12,-21.730059,-6.9106355,-12.6008215
97,14,13,-22.547527,-6.499855,-17.869896
