,label,landmark,x,y,z
0,1,1,-28.417515,-14.859098,-11.1200485
1,1,2,-27.80679,-17.245659,-19.40147
2,1,3,-31.885286,-15.812441,-14.647453
3,1,4,-26.000324,-16.949137,-16.845222
4,1,5,-28.865812,-15.782807,-16.684286
5,1,9,-28.245586,-15.275591,-12.070784
6,1,11,-27.22945,-17.217314,-19.24512
7,1,12,-23.840752,-17.965601,-14.573899
8,1,13,-23.4943,-18.110708,-17.217218
9,2,1,-26.550837,-11.672373,-1.5943626
10,2,2,-29.425722,-15.909935,-8.547936
11,2,3,-29.732775,-15.367113,-7.220933
12,2,4,-21.608044,-12.121928,-3.9422927
13,2,5,-27.155542,-13.468022,-6.175125
14,2,9,-27.966015,-13.902324,-3.5250845
15,2,11,-25.230734,-15.98815,-10.391511
16,2,12,-22.533342,-15.703119,-5.6600804
17,2,13,-22.376966,-15.4939785,-7.721695
18,3,1,-24.774363,-8.470734,7.969398
19,3,2,-25.506603,-12.89878,-1.2614323
20,3,3,-28.037682,-9.628839,3.8643637
21,3,4,-18.400932,-10.073698,1.3135014
22,3,5,-24.341122,-10.214034,2.8684797
23,3,7,-22.138935,-13.765947,-0.9672626
24,3,8,-20.19298,-12.398939,3.5763512
25,4,1,-21.347004,-5.9291596,13.641646
26,4,2,-22.134708,-8.863533,6.73517
27,4,3,-24.723558,-7.623484,11.943482
28,4,4,-17.499584,-5.445823,8.055668
29,4,5,-21.942951,-8.780745,9.540564
30,4,7,-23.331917,-9.205205,12.236415
31,4,8,-18.050959,-9.245472,8.914728
32,5,1,-16.805416,-3.6817174,19.701492
33,5,2,-20.410233,-6.989441,14.842351
34,5,3,-20.534527,-5.7113695,17.837172
35,5,4,-14.980754,-2.880918,14.883534
36,5,6,-17.919453,-6.055595,19.091198
37,6,1,-11.482492,-2.0282986,24.20316
38,6,2,-16.38829,-4.3690023,20.937643
39,6,3,-15.144924,-0.68465537,22.273956
40,6,4,-13.236263,-1.5652379,18.751617
41,6,6,-12.554384,-3.433409,24.088867
42,7,1,-2.485323,-1.3318369,26.69071
43,7,2,-10.658927,-3.2490528,25.301264
44,7,3,-6.742377,-0.69190025,26.869785
45,7,4,-6.8911767,-0.06318598,22.453487
46,7,6,-5.217627,-3.3023124,27.258919
47,8,1,-2.2402725,-2.427219,26.640461
48,8,2,6.062759,-1.1804242,24.718725
49,8,3,0.6701274,1.1145805,26.722551
50,8,4,2.3621743,0.30379543,22.81715
51,8,6,3.6820505,-2.816362,27.014265
52,9,1,6.3893485,-1.8220956,24.713322
53,9,2,11.512929,-0.46130347,21.826973
54,9,3,8.744391,0.4848238,23.893303
55,9,4,7.7558165,-0.65310884,20.396564
56,9,6,8.939854,-2.941641,24.270996
57,10,1,11.407921,-2.067888,20.998148
58,10,2,17.13582,-2.8188512,16.039747
59,10,3,16.270998,-0.9410201,19.230705
60,10,4,11.191756,-2.4585567,16.06541
61,10,6,14.699623,-5.3773594,20.376383
62,11,1,16.497128,-3.855533,15.551315
63,11,2,19.815844,-6.0311747,10.094383
64,11,3,20.065636,-3.6020975,13.409575
65,11,4,12.843249,-6.386345,9.293177
66,11,5,15.637703,-5.7971807,12.151171
67,11,7,18.733082,-7.000293,13.964919
68,11,8,16.91275,-6.3038764,13.304648
69,12,1,21.388714,-6.890883,10.30444
70,12,2,23.942001,-9.255383,1.1730093
71,12,3,23.750656,-8.302009,7.016317
72,12,4,15.840274,-11.911929,2.8924346
73,12,5,19.372715,-8.893947,6.1281333
74,12,7,23.453598,-11.082733,5.012338
75,12,8,17.704924,-12.291898,2.7942767
76,13,1,24.91251,-9.637418,1.2299277
77,13,2,28.149185,-10.767037,-5.443968
78,13,3,27.419212,-11.485794,-2.6458309
79,13,4,18.808092,-13.637118,-6.5361886
80,13,5,22.925957,-11.984544,-3.174847
81,13,9,26.519253,-11.410847,0.040899828
82,13,11,27.212091,-13.940556,-4.4059668
83,13,12,20.756628,-14.061222,-2.6001148
84,13,13,21.23693,-15.24636,-5.7238164
85,14,1,26.209545,-12.576222,-7.8825297
86,14,2,29.664701,-13.679747,-14.558271
87,14,3,29.692368,-14.015975,-12.012148
88,14,4,20.974323,-16.353676,-13.864378
89,14,5,25.515993,-14.953966,-13.045933
90,14,9,29.065643,-14.1705475,-9.900276
91,14,11,29.087809,-14.578356,-11.505654
92,14,12,23.302874,-16.75976,-11.06465
93,14,13,24.214056,-17.44624,-14.950804
