,label,landmark,x,y,z
0,1,1,26.796686,-5.591283,-7.9180636
1,1,2,31.083603,-5.057519,-15.261282
2,1,3,29.76137,-4.1687927,-13.647533
3,1,4,20.94476,-7.7205296,-12.123948
4,1,5,25.202513,-6.8040442,-13.459996
5,1,9,26.725868,-3.5430162,-10.27577
6,1,11,27.251825,-3.6602654,-12.021237
7,1,12,21.400366,-6.5846963,-11.798494
8,1,13,23.139843,-5.7566586,-17.301296
9,2,1,21.648693,-7.405546,2.0799942
10,2,2,25.946913,-7.6513567,-5.294518
11,2,3,24.609638,-7.079432,-0.84118074
12,2,4,15.7872,-9.657062,-1.7611344
13,2,5,19.77986,-8.77562,-4.245043
14,2,9,21.777617,-5.4591017,-0.8450415
15,2,10,21.702093,-5.5887117,-1.4262421
16,2,11,22.967789,-5.6356883,-5.6692476
17,2,12,16.397125,-8.028425,-1.7995236
18,2,13,17.968546,-8.170281,-7.017526
19,3,1,16.999271,-8.337944,9.042515
20,3,2,20.361279,-8.062167,2.9394522
21,3,3,21.411415,-9.5552635,7.2513084
22,3,4,14.23149,-9.277567,3.304175
23,3,5,16.525572,-7.7860794,4.413825
24,3,7,17.999718,-5.8878984,6.383201
25,3,12,17.32504,-6.0343843,6.6506023
26,3,13,17.19178,-7.4678144,4.051666
27,4,1,13.325337,-8.402157,15.272109
28,4,2,16.788517,-8.05049,9.140104
29,4,3,17.617762,-10.353498,14.06544
30,4,4,11.171363,-9.71341,9.851725
31,4,5,13.194002,-6.242921,10.975419
32,4,7,14.281471,-5.2324724,11.988831
33,4,8,14.281471,-5.2324724,11.988831
34,5,1,8.933355,-6.9109564,20.574196
35,5,2,13.321585,-5.415888,15.937324
36,5,3,10.633943,-5.840741,19.988903
37,5,4,8.470369,-8.082005,16.51851
38,5,6,10.039252,-3.6818166,18.64418
39,6,1,3.9031227,-2.836421,21.619099
40,6,2,9.11396,-4.5724974,20.845379
41,6,3,6.4471273,-5.076663,22.563992
42,6,4,5.115077,-5.760369,20.112675
43,6,6,4.8833203,-2.1591256,21.301945
44,7,1,-1.6687312,-2.6757193,22.480675
45,7,2,3.7914834,-2.858847,22.754719
46,7,3,1.5945089,-5.100453,24.376492
47,7,4,0.4222795,-5.1067963,21.603561
48,7,6,0.6639383,-1.5565605,23.041796
49,8,1,-1.8320944,-2.2382276,22.34645
50,8,2,-7.1516485,-3.637533,21.735916
51,8,3,-4.0293093,-5.3277264,23.98996
52,8,4,-5.1088767,-4.804367,21.140814
53,8,6,-3.4908106,-1.4708756,22.457485
54,9,1,-6.2813144,-2.5123355,19.612791
55,9,2,-11.900929,-4.632986,18.745228
56,9,3,-9.276739,-4.8474746,20.840036
57,9,4,-7.9871206,-5.5412292,18.135714
58,9,6,-7.8504014,-1.7735394,19.262674
59,10,1,-11.792014,-5.6975513,19.093737
60,10,2,-16.216547,-4.6014566,14.702587
61,10,3,-14.943665,-5.070884,18.360554
62,10,4,-13.7327385,-6.8137107,14.234578
63,10,6,-13.916685,-2.4566069,17.176348
64,11,1,-18.011066,-7.4726844,15.138829
65,11,2,-20.398247,-7.4780974,8.648858
66,11,3,-21.650328,-9.423006,13.172661
67,11,4,-15.090652,-8.896713,9.346576
68,11,5,-17.223782,-6.5460544,10.706918
69,11,7,-19.066586,-5.0450277,12.163399
70,11,8,-19.066586,-5.0450277,12.163399
71,12,1,-20.25835,-8.198024,8.24165
72,12,2,-23.552162,-8.287523,2.6253328
73,12,3,-24.45036,-10.087692,5.7768917
74,12,4,-17.333925,-9.166005,1.7075557
75,12,5,-19.466295,-8.34506,3.5291755
76,12,7,-21.354939,-6.3895445,5.838756
77,12,12,-20.426079,-6.8584337,6.5340033
78,12,13,-18.759678,-7.863949,2.1600528
79,13,1,-23.955448,-7.9326916,1.1637459
80,13,2,-27.644688,-8.019338,-7.0169907
81,13,3,-26.787045,-6.9745274,-3.5698307
82,13,4,-17.826239,-9.722479,-2.8389657
83,13,5,-22.380354,-8.981391,-4.617787
84,13,9,-24.549809,-6.1481376,-1.9898934
85,13,10,-25.453962,-5.811904,-5.1659937
86,13,11,-25.678783,-6.2366576,-6.687788
87,13,12,-18.417526,-8.233508,-2.271526
88,13,13,-20.205957,-7.3058763,-7.7549033
89,14,1,-27.063335,-6.4819593,-9.606415
90,14,2,-29.945799,-5.912941,-19.301807
91,14,3,-29.76759,-5.2695546,-14.754363
92,14,4,-21.2565,-7.742669,-12.79721
93,14,5,-24.90942,-7.0334477,-15.129843
94,14,9,-27.156183,-4.0916104,-12.126507
95,14,11,-27.575861,-3.7788653,-17.60857
96,14,12,-21.730059,-6.9106355,-12.6008215
97,14,13,-22.547527,-6.499855,-17.869896
