,label,landmark,x,y,z
0,1,1,-10.925816,-14.111626,25.581411
1,1,2,-18.55255,-18.067814,28.499882
2,1,3,-16.597378,-16.495155,28.93159
3,1,4,-16.237202,-18.90256,20.305153
4,1,5,-15.829114,-16.07282,24.87067
5,1,9,-12.783788,-16.239176,28.067598
6,1,11,-17.748968,-18.817467,27.858088
7,1,12,-13.778131,-18.971212,20.971403
8,1,13,-17.156075,-20.18462,21.245289
9,2,1,-0.82546514,-10.834968,25.29808
10,2,2,-7.831196,-14.446407,27.950788
11,2,3,-5.2114987,-13.272197,27.561754
12,2,4,-3.9278972,-14.176535,18.679226
13,2,5,-5.623669,-12.449698,23.39875
14,2,9,-2.3777854,-12.606505,26.274433
15,2,11,-6.0831223,-15.310472,27.136742
16,2,12,-4.5441685,-15.035463,19.865778
17,2,13,-8.44334,-17.010557,19.996775
18,3,1,5.829454,-8.334677,22.509657
19,3,2,0.54386264,-11.092639,24.379274
20,3,3,3.672836,-7.9470863,25.28911
21,3,4,0.58450186,-9.601249,17.06258
22,3,5,2.0708587,-10.09494,21.415983
23,3,7,4.884749,-10.88828,24.01596
24,3,8,3.2115755,-11.704262,18.65937
25,4,1,11.262123,-4.958322,20.634205
26,4,2,5.9353933,-7.656389,22.672619
27,4,3,9.560582,-5.124933,23.321405
28,4,4,6.3608456,-5.871008,14.924314
29,4,5,8.989469,-5.8493266,19.146034
30,4,7,9.221816,-8.053119,22.798521
31,4,8,9.211176,-8.598971,16.512964
32,5,1,16.125965,-1.0245132,15.452839
33,5,2,10.851232,-3.581265,19.585459
34,5,3,15.457719,-2.3744226,18.613825
35,5,4,11.617416,-1.8966601,13.347568
36,5,6,16.1676,-3.7046318,18.016232
37,6,1,19.912426,0.13770156,9.124973
38,6,2,17.842152,0.60624474,14.699677
39,6,3,18.842775,2.085561,11.776
40,6,4,15.478762,1.3675246,10.636136
41,6,6,20.132303,-0.2784811,10.971805
42,7,1,21.928898,0.30925572,0.46275935
43,7,2,20.706009,0.6595927,7.6899166
44,7,3,22.196333,1.3092858,3.466023
45,7,4,17.011402,1.4547973,3.43266
46,7,6,22.387789,-0.012650305,3.2591453
47,8,1,21.127176,0.8024468,0.039115913
48,8,2,20.515553,-0.013481876,-8.186365
49,8,3,22.584898,0.49283436,-3.2720096
50,8,4,17.557423,1.2292889,-3.7780282
51,8,6,22.476248,-0.30377567,-3.372791
52,9,1,20.599604,-0.7093391,-8.723483
53,9,2,18.63035,-2.100569,-14.338615
54,9,3,19.015423,0.8990804,-11.960716
55,9,4,14.529951,-1.6246116,-11.472169
56,9,6,20.927902,-1.4583635,-10.481512
57,10,1,17.198626,-3.0186412,-14.75172
58,10,2,12.349354,-6.126232,-19.005905
59,10,3,16.326788,-4.888369,-18.098663
60,10,4,12.045504,-3.8585563,-13.369153
61,10,6,15.86039,-6.5549464,-17.124626
62,11,1,12.528628,-7.01696,-19.409008
63,11,2,8.07248,-9.732586,-23.098574
64,11,3,10.288981,-7.1026096,-22.958992
65,11,4,6.1070595,-8.556889,-15.255109
66,11,5,9.619137,-7.987912,-18.304348
67,11,7,11.984366,-9.94239,-20.927286
68,11,8,8.831879,-10.587141,-16.24982
69,12,1,7.2580614,-10.930688,-23.463907
70,12,2,2.393914,-13.587724,-25.661833
71,12,3,5.312086,-10.592134,-26.169119
72,12,4,1.5695307,-11.3253,-18.3781
73,12,5,3.3563411,-12.165342,-22.274475
74,12,7,5.82767,-13.870531,-24.992907
75,12,8,4.733815,-12.994559,-19.112206
76,13,1,1.4557209,-12.901668,-25.749874
77,13,2,-5.461181,-16.788353,-29.153418
78,13,3,-3.966046,-18.059793,-28.20431
79,13,4,-3.7191093,-15.802134,-19.267614
80,13,5,-3.7463303,-14.670618,-24.54853
81,13,9,0.063540764,-15.142786,-26.99055
82,13,11,-3.9492786,-18.08146,-27.748777
83,13,12,-2.893979,-16.786549,-20.93515
84,13,13,-6.596475,-18.669895,-20.891062
85,14,1,-8.47677,-17.040997,-28.342974
86,14,2,-14.613558,-20.607666,-30.911009
87,14,3,-14.684399,-21.24922,-30.604164
88,14,4,-13.709493,-20.581844,-21.575323
89,14,5,-13.450117,-18.831974,-26.682919
90,14,9,-9.522826,-19.066477,-29.287064
91,14,11,-14.210301,-21.877304,-29.664764
92,14,12,-11.451765,-20.81513,-22.411764
93,14,13,-15.540038,-22.690723,-23.462646
